"Argus","ORGANIZATION"
"DC","STATE_OR_PROVINCE"
"Joker","TITLE"
"Batman","PERSON"
"CGC","ORGANIZATION"
"Matt Baker","PERSON"
"GA","STATE_OR_PROVINCE"
"Pack White Hand Ninja","ORGANIZATION"
"WAR","CAUSE_OF_DEATH"
"NY","STATE_OR_PROVINCE"
"NWT","STATE_OR_PROVINCE"
"Vintage Iron Maiden","ORGANIZATION"
"Mariah Carey","PERSON"
"Doujinshi","PERSON"
"Harry Potter","PERSON"
"Japan","COUNTRY"
"Harry Potter Fleur Delacour Wand","PERSON"
"Cold","TITLE"
"Steve Austin","PERSON"
"Jerry Saggs Mattel","PERSON"
"Mark Henry","PERSON"
"Mattel","ORGANIZATION"
"Prada Milano Dal 1913 Black Nylon","ORGANIZATION"
"US","COUNTRY"
"Prada Hidden Wedge Heel","ORGANIZATION"
"BATMAN","TITLE"
"Scout Trooper","TITLE"
"Doctor","TITLE"
"SEUSS - Horton","PERSON"
"Seuss - Horton","PERSON"
"American","NATIONALITY"
"Indian","NATIONALITY"
"American Indian","NATIONALITY"
"USA","COUNTRY"
"Gibson Marauder Electric Guitar","ORGANIZATION"
"Rick Grimes","PERSON"
"Daryl Dixon","PERSON"
"McFarlane","PERSON"
"Daryl Dixon Crossbow Ballesta","PERSON"
"Gta","LOCATION"
"Andreas","LOCATION"
"San","CITY"
"he","PERSON"
"Daryl Dixon Star Norman Reedus","PERSON"
"Daryl","PERSON"
"riot","CRIMINAL_CHARGE"
"Daryl Dixon Angel","PERSON"
"Governor","TITLE"
"Daryl Cigar","PERSON"
"artist","TITLE"
"AMC TV","ORGANIZATION"
"his","PERSON"
"Merle Dixon","PERSON"
"dealer","TITLE"
"Janky","PERSON"
